Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
56192,Text,17/12/2017,Germaniens Götter,de,"Herzog, Rudolf, 1869-1943; Engels, Robert, 1866-1926 [Illustrator]; Hartmann, Paul, 1890-1958 [Illustrator]","Mythology, Germanic; Legends -- Germany",BL,
56263,Text,28/12/2017,"How to Be a Man
A Book for Boys, Containing Useful Hints on the Formation of Character",en,"Newcomb, Harvey, 1803-1863",Conduct of life; Boys,BJ,
56279,Text,31/12/2017,The Origin and Development of Christian Dogma: An essay in the science of history,en,"Tuthill, Charles A. H.",Christianity -- Origin,BR,
56287,Text,02/01/2018,"Simplex Munditiis, Gentlemen",en,"Arnold, Reginald Harvey; Delano de Lannoy, Mortimer, 1869-1920",Etiquette,BJ,
56306,Text,04/01/2018,Living the Radiant Life: A Personal Narrative,en,"James, George Wharton, 1858-1923",Conduct of life,BJ,
56341,Text,09/01/2018,"The American Missionary — Volume 35, No. 12, December, 1881",en,Various,Congregational churches -- Missions -- Periodicals; Home missions -- Periodicals,BV,The American Missionary
56354,Text,10/01/2018,An Appeal to the People in Behalf of Their Rights as Authorized Interpreters of the Bible,en,"Beecher, Catharine Esther, 1800-1878","Bible -- Criticism, interpretation, etc.; Predestination; Grace (Theology); Religion -- Philosophy",BL; BR,
56404,Text,20/01/2018,"A Book of Gems, or, Choice selections from the writings of Benjamin Franklin",en,"Franklin, Benjamin, 1812-1878; Franklin, Joseph, 1834-1912 [Editor]; Headington, J. A. (Joel A.) [Editor]",Churches of Christ,BX,
56412,Text,21/01/2018,Seventeen Years in Paris: A Chaplain's Story,en,"Noyes, H. E. (Henry Edward)","English Church (Paris, France); Church of England -- France -- Paris",BX,
56414,Text,22/01/2018,A Candid History of the Jesuits,en,"McCabe, Joseph, 1867-1955",Jesuits -- History,BX,
56441,Text,27/01/2018,Analysis of the Phenomena of the Human Mind,en,"Mill, James, 1773-1836; Bain, Alexander, 1818-1903 [Commentator]; Findlater, Andrew, 1810-1885 [Commentator]; Grote, George, 1794-1871 [Commentator]; Mill, John Stuart, 1806-1873 [Editor]",Psychology,B,
56468,Text,31/01/2018,"Nunnery life in the Church of England; or, Seventeen years with Father Ignatius",en,"Mary Agnes, Sister, O.S.B.; Holland, W. Lancelot (Walter Lancelot) [Editor]","Monastic and religious life of women; Monasticism and religious orders for women -- Anglican Communion; Ignatius, Father, O.S.B., 1837-1908",BX,
56479,Text,31/01/2018,Hymn Stories of the Twentieth Century,en,"Hart, William J. (William John), 1866-1943","Hymns, English -- History and criticism",BV,
56480,Text,31/01/2018,Hymns in Human Experience,en,"Hart, William J. (William John), 1866-1943; Joseph, Oscar L. (Oscar Loos), 1873- [Editor]",Hymns -- History and criticism,BV,
56487,Text,02/02/2018,"An Apology for the True Christian Divinity
Being an explanation and vindication of the principles and doctrines of the people called Quakers",en,"Barclay, Robert, 1648-1690",Society of Friends -- Doctrines -- Early works to 1800; Society of Friends -- Apologetic works; Society of Friends -- Early works to 1800,BX,
56489,Text,03/02/2018,Apparitions and thought-transference: an examination of the evidence for telepathy,en,"Podmore, Frank, 1856-1910",Telepathy; Apparitions,BF,
56494,Text,04/02/2018,Ecclesiastical Vestments: Their development and history,en,"Macalister, Robert Alexander Stewart, 1870-1950",Church vestments,BV,
56517,Text,07/02/2018,The Philosophy of Auguste Comte,en,"Lévy-Bruhl, Lucien, 1857-1939; Harrison, Frederic, 1831-1923 [Author of introduction, etc.]; Klein, Kathleen Mary de Beaumont, 1876- [Translator]","Comte, Auguste, 1798-1857",B,
56546,Text,11/02/2018,"Nietzsche, sein Leben und seine Lehre",de,"Heckel, Karl, 1858-1923","Nietzsche, Friedrich Wilhelm, 1844-1900",B,
56582,Text,17/02/2018,The Gentle Persuasion: Sketches of Scottish Life,en,"Gray, Alan",Scotland -- Social life and customs; Church of England -- Clergy; Episcopal Church in Scotland,BX,
56587,Text,17/02/2018,"The American Missionary — Volume 35, No. 10, October, 1881",en,Various,Congregational churches -- Missions -- Periodicals; Home missions -- Periodicals,BV,The American Missionary
56606,Text,19/02/2018,Aesthetische Farbenlehre,de,"Hermann, Conrad, 1819-1897",Aesthetics; Color,BH,
56634,Text,24/02/2018,"The Monist, Vol. 1, 1890-1891",en,"Various; Carus, Paul, 1852-1919 [Editor]; Hegeler, Edward C, 1835-1910 [Editor]",Philosophy -- Periodicals,B,
56644,Text,26/02/2018,"Bulfinch's Mythology
The Age of Fable; The Age of Chivalry; Legends of Charlemagne",en,"Bulfinch, Thomas, 1796-1867","Mythology; Folklore -- Europe; Charlemagne, Emperor, 742-814 -- Romances -- Adaptations; Romances",BL,
